ID,C1,C2,C3,C4,C5
1.0,0.0,0.7,0.195,0.07500000000000001,0.03
2.0,0.0,0.08,0.2,0.45499999999999996,0.265
3.0,0.005,0.15000000000000002,0.28500000000000003,0.18,0.38
4.0,0.005,0.22,0.635,0.125,0.015
5.0,0.0,0.015,0.055,0.875,0.055
6.0,0.065,0.16999999999999998,0.6799999999999999,0.065,0.02
7.0,0.01,0.1,0.135,0.685,0.07
8.0,0.01,0.8500000000000001,0.095,0.030000000000000002,0.015
9.0,0.005,0.76,0.16999999999999998,0.034999999999999996,0.03
10.0,0.01,0.22,0.09,0.27,0.41000000000000003
11.0,0.02,0.045,0.11,0.060000000000000005,0.765
12.0,0.01,0.1,0.005,0.045000000000000005,0.8400000000000001
13.0,0.025,0.045,0.0,0.01,0.92
14.0,0.03,0.29000000000000004,0.32,0.135,0.22499999999999998
15.0,0.005,0.895,0.065,0.03,0.005
16.0,0.09,0.72,0.065,0.08,0.045
17.0,0.005,0.585,0.28,0.065,0.065
18.0,0.015,0.41000000000000003,0.45,0.08,0.045
19.0,0.01,0.4,0.495,0.06,0.035
20.0,0.03,0.73,0.13,0.05,0.060000000000000005
21.0,0.005,0.975,0.005,0.01,0.005
22.0,0.035,0.125,0.185,0.595,0.06
23.0,0.3,0.6499999999999999,0.025,0.025,0.0
24.0,0.7749999999999999,0.11,0.05,0.05500000000000001,0.01
25.0,0.8200000000000001,0.15000000000000002,0.025,0.005,0.0
26.0,0.02,0.9299999999999999,0.03,0.02,0.0
27.0,0.935,0.04,0.01,0.015,0.0
28.0,0.96,0.025,0.005,0.01,0.0
29.0,0.07500000000000001,0.875,0.04,0.005,0.005
30.0,0.005,0.9,0.07,0.02,0.005
31.0,0.475,0.475,0.03,0.015,0.005
32.0,0.01,0.52,0.445,0.015,0.01
33.0,0.0,0.46499999999999997,0.5249999999999999,0.01,0.0
34.0,0.02,0.20500000000000002,0.6399999999999999,0.13,0.005
35.0,0.01,0.495,0.45499999999999996,0.034999999999999996,0.005
36.0,0.005,0.585,0.395,0.01,0.005
37.0,0.0,0.43,0.42500000000000004,0.125,0.02
38.0,0.0,0.13,0.725,0.13,0.015
39.0,0.015,0.825,0.095,0.05,0.015
40.0,0.0,0.015,0.33,0.65,0.005
41.0,0.005,0.71,0.275,0.005,0.005
42.0,0.0,0.225,0.034999999999999996,0.735,0.005
43.0,0.005,0.07,0.77,0.1,0.055
44.0,0.0,0.04,0.21500000000000002,0.45999999999999996,0.28500000000000003
45.0,0.095,0.5800000000000001,0.195,0.060000000000000005,0.07
46.0,0.07,0.73,0.135,0.05,0.015
47.0,0.0,0.045,0.24,0.615,0.1
48.0,0.01,0.24,0.71,0.030000000000000002,0.01
49.0,0.0,0.855,0.14,0.0,0.005
50.0,0.015,0.15000000000000002,0.125,0.55,0.16
51.0,0.01,0.14,0.13,0.25,0.47
52.0,0.0,0.015,0.735,0.15,0.1
53.0,0.025,0.10500000000000001,0.525,0.185,0.16
54.0,0.015,0.075,0.245,0.08499999999999999,0.58
55.0,0.0,0.685,0.11000000000000001,0.175,0.03
56.0,0.035,0.175,0.195,0.19,0.40499999999999997
57.0,0.0,0.15,0.155,0.585,0.11
58.0,0.01,0.085,0.125,0.645,0.135
59.0,0.0,0.355,0.5900000000000001,0.04,0.015
60.0,0.005,0.315,0.060000000000000005,0.1,0.52
61.0,0.01,0.06,0.105,0.125,0.7
62.0,0.005,0.07,0.03,0.55,0.345
63.0,0.015,0.055,0.015,0.495,0.42
64.0,0.005,0.10500000000000001,0.05,0.47000000000000003,0.37
